Project,File,Folder,Absolute path,Role,Destination,Status
International Investing and Diaspora Finance,03-residence-analysis.png,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/03-residence-analysis.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,04-relocation-review.mmd,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/04-relocation-review.mmd,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,04-relocation-review.png,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/04-relocation-review.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,05-money-routes.mmd,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/05-money-routes.mmd,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,05-money-routes.png,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/05-money-routes.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,06-withdrawal-sequence.mmd,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/06-withdrawal-sequence.mmd,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,06-withdrawal-sequence.png,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/06-withdrawal-sequence.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
International Investing and Diaspora Finance,contact-sheet.png,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Flowcharts/contact-sheet.png,Figure or editable diagram source,Figure review reference,Retained existing file
International Investing and Diaspora Finance,Part 1 - Choosing the Investment.md,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Part 1 - Choosing the Investment.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
International Investing and Diaspora Finance,Part 2 - When the Investor Moves.md,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Part 2 - When the Investor Moves.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
International Investing and Diaspora Finance,Part 3 - Moving Money with Purpose.md,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/Part 3 - Moving Money with Purpose.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
International Investing and Diaspora Finance,README.md,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/README.md,Research record or supporting data,Research and reproducibility,Retained existing file
International Investing and Diaspora Finance,report-source.md,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/report-source.md,Research record or supporting data,Research and reproducibility,Retained existing file
International Investing and Diaspora Finance,verification.json,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/verification.json,Research record or supporting data,Research and reproducibility,Retained existing file
International Investing and Diaspora Finance,verify_articles.py,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/LinkedIn Articles/verify_articles.py,Research record or supporting data,Research and reproducibility,Retained existing file
International Investing and Diaspora Finance,spym stock.md,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance,C:/Users/Nevo/Downloads/financial material/International Investing and Diaspora Finance/spym stock.md,Original topic manuscript,Research source,Retained existing file
Kenyan Equities and Company Analysis,Dividenf yield for various tickers across different counters.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Dividenf yield for various tickers across different counters.md,Original topic manuscript,Research source,Retained existing file
Kenyan Equities and Company Analysis,Appendix 1 - Income and Bill Mathematics.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Appendices,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Appendices/Appendix 1 - Income and Bill Mathematics.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Equities and Company Analysis,Appendix 2 - Statements and Valuation Mathematics.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Appendices,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Appendices/Appendix 2 - Statements and Valuation Mathematics.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Equities and Company Analysis,Appendix 3 - Portfolio Mathematics and Implementation.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Appendices,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Appendices/Appendix 3 - Portfolio Mathematics and Implementation.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Equities and Company Analysis,Appendix 4 - Compounding and Simulation Mathematics.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Appendices,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Appendices/Appendix 4 - Compounding and Simulation Mathematics.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Equities and Company Analysis,01-income-flow.png,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures/01-income-flow.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Equities and Company Analysis,02-bill-flow.png,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures/02-bill-flow.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Equities and Company Analysis,03-statements-flow.png,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures/03-statements-flow.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Equities and Company Analysis,04-dcf-sensitivity.png,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures/04-dcf-sensitivity.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Equities and Company Analysis,05-policy-weights.png,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures/05-policy-weights.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Equities and Company Analysis,06-portfolio-search.png,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures/06-portfolio-search.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Equities and Company Analysis,07-simulation-ranges.png,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures/07-simulation-ranges.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Equities and Company Analysis,08-savings-sensitivity.png,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Figures/08-savings-sensitivity.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Equities and Company Analysis,Part 1 - Building an Income and Research Universe.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Part 1 - Building an Income and Research Universe.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
Kenyan Equities and Company Analysis,Part 2 - Reading Businesses and Estimating Value.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Part 2 - Reading Businesses and Estimating Value.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
Kenyan Equities and Company Analysis,Part 3 - Constructing Portfolios with a Purpose.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Part 3 - Constructing Portfolios with a Purpose.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
Kenyan Equities and Company Analysis,Part 4 - Compounding Through Uncertain Markets.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Part 4 - Compounding Through Uncertain Markets.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
Kenyan Equities and Company Analysis,README.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/README.md,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,01-Screening-and-Income-formula-audit.csv,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/01-Screening-and-Income-formula-audit.csv,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,02-Statements-and-Valuation-formula-audit.csv,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/02-Statements-and-Valuation-formula-audit.csv,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,03-Portfolio-Construction-formula-audit.csv,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/03-Portfolio-Construction-formula-audit.csv,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,04-Compounding-and-Simulation-formula-audit.csv,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/04-Compounding-and-Simulation-formula-audit.csv,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,article_citation_map.json,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/article_citation_map.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,issuer_directory.json,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/issuer_directory.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,portfolio_results.json,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/portfolio_results.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,References.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/References.md,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,reproduce_models.py,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/reproduce_models.py,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,Reproduction Guide.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/Reproduction Guide.md,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,Research Questions and Coverage.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/Research Questions and Coverage.md,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,simulation_results.json,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/simulation_results.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,sources.json,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/sources.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,spec.json,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/spec.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,verification.json,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/verification.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,Verification.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/Verification.md,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,workbook_verification.json,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/Four Part Series/Research/workbook_verification.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Equities and Company Analysis,how to read financial statements seeking for value.md,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis,C:/Users/Nevo/Downloads/financial material/Kenyan Equities and Company Analysis/how to read financial statements seeking for value.md,Original topic manuscript,Research source,Retained existing file
Kenyan Tax and Household Finance,01-PAYE-and-Cash-Flow-formula-dictionary.json,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/01-PAYE-and-Cash-Flow-formula-dictionary.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Tax and Household Finance,02-Pensions-and-Retirement-formula-dictionary.json,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/02-Pensions-and-Retirement-formula-dictionary.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Tax and Household Finance,03-Medical-and-Emergency-Funds-formula-dictionary.json,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/03-Medical-and-Emergency-Funds-formula-dictionary.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Tax and Household Finance,04-Mortgages-and-Housing-formula-dictionary.json,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/04-Mortgages-and-Housing-formula-dictionary.json,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Tax and Household Finance,Appendix 1 - PAYE and Cash Flow.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Appendix 1 - PAYE and Cash Flow.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Tax and Household Finance,Appendix 2 - Pension Mathematics and Simulation.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Appendix 2 - Pension Mathematics and Simulation.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Tax and Household Finance,Appendix 3 - Claims and Emergency Liquidity.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Appendix 3 - Claims and Emergency Liquidity.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Tax and Household Finance,Appendix 4 - Amortisation and Housing Valuation.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Appendix 4 - Amortisation and Housing Valuation.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Tax and Household Finance,01-payroll-flow.png,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures/01-payroll-flow.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Tax and Household Finance,02-pension-flow.png,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures/02-pension-flow.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Tax and Household Finance,03-medical-flow.png,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures/03-medical-flow.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Tax and Household Finance,04-housing-flow.png,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures/04-housing-flow.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Tax and Household Finance,05-pension-distribution.png,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures/05-pension-distribution.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Tax and Household Finance,06-medical-reserve-sensitivity.png,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Figures/06-medical-reserve-sensitivity.png,Figure or editable diagram source,Article illustration; YouTube evidence asset,Retained existing file
Kenyan Tax and Household Finance,Formula Dictionaries.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Formula Dictionaries.md,Technical appendix or formula dictionary,Companion material; YouTube appendix,Retained existing file
Kenyan Tax and Household Finance,Part 1 - What Your Payslip Can Actually Fund.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Part 1 - What Your Payslip Can Actually Fund.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
Kenyan Tax and Household Finance,Part 2 - Building a Pension That Can Pay for Life.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Part 2 - Building a Pension That Can Pay for Life.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
Kenyan Tax and Household Finance,Part 3 - Paying for Healthcare Without Unravelling the Household.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Part 3 - Paying for Healthcare Without Unravelling the Household.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
Kenyan Tax and Household Finance,Part 4 - A Home the Household Can Keep.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/Part 4 - A Home the Household Can Keep.md,Long-form article,LinkedIn; Substack; Medium,Retained existing file
Kenyan Tax and Household Finance,README.md,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/README.md,Research record or supporting data,Research and reproducibility,Retained existing file
Kenyan Tax and Household Finance,sources.json,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series,C:/Users/Nevo/Downloads/financial material/Kenyan Tax and Household Finance/Four Part Series/sources.json,Research record or supporting data,Research and reproducibility,Retained existing file
